Comment,Id
"I used to love SuperDuperNetwork. Until all these constant updates. My internet and cable crash a lot at night, and sometimes during the day, some channels don't even work and on demand sometimes don't play either. I wish they will do something about it. ",001B000001L8sGiIAJ
I'm so over SuperDuperNetwork! The worst internet provider. I'm taking online classes and multiple times was late with my assignments because of the power interruptions in my area that lead to poor quality internet service. Definitely switching to Thunder,001B000001L8sGjIAJ
If I could give them a negative star or no stars on this review I would. I have never worked with any industry with as bad of customer service as SuperDuperNetwork. It is not a matter of money because I make well enough above and beyond to afford their se,001B000001L8sGkIAJ
"I've had the worst experiences so far since install on 10/4/16. Nothing but problems. Two no shows on scheduled service appointments, extreme difficulty in adding boxes to the second floor. What is so difficult about adding boxes to an existing account? N",001B000001LLaISIA1
"Check your contract when you sign up for SuperDuperNetwork as their advertised offers do not match the contract they issue. I signed up for $49.99 150Mbps internet for 2 years, however my contract has $19.99 for 25Mbps internet for 2 years. They say there",001B000001LLaITIA1
Thank God. I am changing to Dish. They gave me awesome pricing and super people to deal with. You can actually understand what they are saying. I'm so excited to finally be able to return this equipment although still haven't received the home security ye,001B000001LLaIUIA1
"I Have been a long time customer and only have SpecialtyMobility as my ISP for a while now. While I was in the local Walmart on November 4, 2016, there were customer representatives from SpecialtyMobility running promotions for and in the Salt Lake City a",001B000001LLaj0IAD
"There is a malfunction on the DVR manager which is preventing us from adding more recordings. Customer service is fairly certain that the problem is from the signal from their system to ours, but protocol demands that they access our home before investiga",001B000001LLaj1IAD
Charges overwhelming. SuperDuperNetwork service rep was so ignorant and rude when I call to resolve my issue with my bill. I emailed Tom ** his rep was rude to me. None of the representative was helpful. They all just pass me on to other people. I am cutt,001B000001LLaj2IAD
"I have had cable, DISH, and U-verse, etc. in the past. All are eh... but you know what? SuperDuperNetwork takes the cake. I have never been driven to take time out of my day just to gripe online for all to see. But consumers, stay away! So my first terrib",001B000001LLaj3IAD
"Had them from 2014 to now. I'd tell new customers to run but there is nowhere to run to. I tried, but it turned out SuperDuperNetwork was SpecialtyMobility. Signing up for a contract has no meaning. The fine print in the contract that they suggest you rea",001B000001LLaj4IAD
Disappointed. I have been a SuperDuperNetwork/SpecialtyMobility customer for almost two decades. I pay for high speeds and get intermittent internet. I call every week almost-- can't take the time to call more often and get FRUSTRATED. I spend 30 minutes ,001B000001LLaj5IAD
"These people are unethical and disturbing oblivious to their customers needs. The internet speed tears are constantly changing and customers are being charged as the internet speeds change. For instance, when their ""blast"" service was first commissioned b",001B000001LLaj6IAD
"Unplanned, unexpected, all day outages, rude service reps. Rearranging my day to set up service only to deal with a totally inept technician who has to call for backup on another day. I could go on, but why? We are dropping this failure of a company and r",001B000001LLaj7IAD
BE WARNED. You will have 10$ hidden fees when you sign up for this service. They charge you extra for the local news stations and a fee for local sports that you will not be told about until you see it on your first bill. The customer service people are a,001B000001LLaj8IAD
"Had SuperDuperNetwork. Overall the terrible experience everyone else is describing but there was no other provider in my area at the time, so we just dealt with it. Ultimately moved out of my apartment to an area that was serviced by other providers, so I",001B000001LLaj9IAD
"When I called the infinity customer service center to complain about the new slow performance speed the first question customer service asked was ""How fast is it now and why didn't you buy the previous offer for the faster service."" I responded with ""What",001B000001LLajAIAT
"Outraged, that it should not take a month to get internet service! We contacted SuperDuperNetwork the 1st week of October for internet service. We was lucky to have a tech come out the same week. When he came he informed us he could not do the installatio",001B000001LLajBIAT
"We got SpecialtyMobility on the first of July 2016. In the first week and a half, our internet was out, hours at a time, every single day. The first rep that was sent out to fix it said he didn't feel comfortable going in our crawl space so he told me I s",001B000001LLajCIAT
"For no known reason, my internet went out on 10/23/2016 - it had been working very well since roughly 7/4/2016, which is shortly after I moved to a new apartment. The afternoon of 10/23, I was catching up with my friends on social media when the page fail",001B000001LLajDIAT
"I used SuperDuperNetwork for approximately 4 years prior to ATT Uverse. Each customer service rep I had to speak with although seemed ethical, never was. I called to check their promos and was given what I thought was a great price for all three services,",001B000001LLajEIAT
"The internet is very SLOW. Although they promise 75 Mbps, I actually got 10 Mbps on average. The bill is ridiculous. When I install their internet, they promise a monthly fee of $59.99 for one year. But in the second month, I got $69.99 on my bill, only b",001B000001LLajFIAT
"I am on social security disability and am pretty much confined to my apartment. I got SuperDuperNetwork internet with 10MB for $14.99 a month for two years. Everything was ok until the next month when I got a letter in the mail addressed to me, not a bulk",001B000001LLajGIAT
I set up an appointment and it was inconvenient to make sure I was home. After 30 mins past the window I phoned and spoke to a foreign agent who assured me I would get a call back within 30 mins. An hour later after being given a ticket number no one has ,001B000001LLajHIAT
